"Date Purchased","Promise Date","Shipped Date","Delivery Date","Order ID","Order Item ID",Barcode,Qty,Category,Country,Channel,Supplier,Total,"Total USD","Priced At supplier","Order Status","Item Status","Handover to Carrier"
"09/09/2022 08:14:01",08/10/2022,10/09/2022,14/09/2022,96636000,7694386,9780241452639,1,Books,"United States","Amazon US1 [45]","FPC WorldFront Stock - LAX [888]","34.70 USD",34.70,"FPC WorldFront Stock - LAX [888]",Shipped,Shipped,09/09/2022
"07/09/2022 17:42:55",07/10/2022,08/09/2022,,95265179,7688022,0602507369187,1,Music,"United States","Amazon US1 [45]","FPC Amazon FBA - US1 [2119]","31.12 USD",31.12,"FPC Amazon FBA - US1 [2119]",Shipped,Shipped,
"05/09/2022 21:36:40",08/10/2022,09/09/2022,26/09/2022,92204890,7679666,4545784040331,1,Toys,"United States","Amazon US1 [45]","FPW Amazon UK Toys [1589]","134.00 USD",134.00,"FPW Amazon UK Toys [1589]",Shipped,Shipped,20/09/2022
"04/09/2022 05:27:21",12/10/2022,,,96104021,7673474,9781632366429,1,Books,"United States","Amazon US1 [45]",,"68.06 USD",68.06,"FPC LA/NJ Penguin Random House US [1261]",Canceled,Processing,
"03/09/2022 15:14:05",06/10/2022,04/09/2022,,98037741,7671812,0081227966409,1,Music,"United States","Amazon US1 [45]",,"26.67 USD",26.67,"FPC Amazon FBA - US1 [2119]",Canceled,Shipped,
"02/09/2022 08:14:06",07/10/2022,,,99215078,7666400,9781585285457,2,Books,"United States","Amazon US1 [45]",,"162.60 USD",162.60,"FPW Eurospan [1352]",Canceled,Processing,
"02/09/2022 08:14:06",07/10/2022,,,99215078,7666428,9781585285457,1,Books,"United States","Amazon US1 [45]","FPW Eurospan [1352]","81.30 USD",81.30,"FPW Eurospan [1352]",Canceled,Processing,
"28/08/2022 16:23:53",01/10/2022,06/09/2022,19/09/2022,96913690,7647110,9780357124987,1,Books,"United States","Amazon US1 [45]","FRL Cengage AU [140]","138.00 USD",138.00,"FRL Cengage AU [140]",Shipped,Shipped,06/09/2022
"27/08/2022 10:00:24",12/10/2022,09/09/2022,,97326513,7642396,9780132349680,3,Books,"United States","Amazon US1 [45]","FPW Paperbackshop [1832]","145.20 USD",145.20,"FPW Paperbackshop [1832]",Shipped,Shipped,13/09/2022
"27/08/2022 04:53:12",04/10/2022,08/09/2022,20/09/2022,91379082,7641294,9781260092516,1,Books,"United States","Amazon US1 [45]","FRL McGraw-Hill AU [144]","118.00 USD",118.00,"FRL McGraw-Hill AU [144]",Shipped,Shipped,09/09/2022
"25/08/2022 13:49:29",27/09/2022,26/08/2022,,90266823,7634896,0008811191726,1,Music,"United States","Amazon US1 [45]",,"9.54 USD",9.54,"FPC Amazon FBA - US1 [2119]",Canceled,Shipped,
"24/08/2022 16:28:08",29/09/2022,30/08/2022,03/09/2022,91861165,7631288,9781632366429,1,Books,"United States","Amazon US1 [45]","FPC LA/NJ Penguin Random House US [1261]","68.06 USD",68.06,"FPC LA/NJ Penguin Random House US [1261]",Shipped,Shipped,30/08/2022
"24/08/2022 03:00:19",24/09/2022,27/09/2022,,90331500,7628476,9780981914657,1,Books,"United States","Amazon US1 [45]","FPC Amazon FBA - US1 [2119]","27.27 USD",27.27,"FPC NJ IPG Books [1362]",Shipped,Shipped,
"23/08/2022 09:52:25",23/09/2022,27/09/2022,,99845879,7625644,9780981914657,1,Books,"United States","Amazon US1 [45]","FPC Amazon FBA - US1 [2119]","27.31 USD",27.31,"FPC NJ IPG Books [1362]",Shipped,Shipped,
"21/08/2022 19:16:41",27/09/2022,02/09/2022,17/09/2022,95802810,7619847,9781760899455,1,Books,"United States","Amazon US1 [45]","FRL United Book Distributors AU [138]","22.58 USD",22.58,"FRL United Book Distributors AU [138]",Shipped,Shipped,05/09/2022
"21/08/2022 10:53:17",22/09/2022,22/08/2022,,92118315,7618459,9781529421330,1,Books,"United States","Amazon US1 [45]","WFL WorldFront Stock - AKL [999]","27.61 USD",27.61,"WFL WorldFront Stock - AKL [999]",Shipped,Shipped,26/08/2022
"21/08/2022 05:49:46",24/09/2022,30/08/2022,,92536439,7617547,5055201810823,1,Movies,"United States","Amazon US1 [45]","FPW Moovies Distribution [1526]","16.59 USD",16.59,"FPW Lasgo Chrysalis [1535]",Shipped,Shipped,02/09/2022
"20/08/2022 06:49:54",27/09/2022,23/08/2022,16/09/2022,92735993,7614054,9781401299477,1,Books,"United States","Amazon US1 [45]","FRL United Book Distributors AU [138]","69.69 USD",69.69,"FRL United Book Distributors AU [138]",Shipped,Shipped,26/08/2022
"20/08/2022 03:57:27",24/09/2022,03/09/2022,,90442980,7613517,0602577470844,1,Music,"United States","Amazon US1 [45]","FPW Amazon UK Manual [1603]","44.88 USD",44.88,"Reservable Inbound Stock - LHR [2200]",Shipped,Shipped,05/09/2022
"18/08/2022 15:26:34",20/09/2022,22/09/2022,,90594834,7607934,9780981914657,1,Books,"United States","Amazon US1 [45]",,"27.31 USD",27.31,"FPC NJ IPG Books [1362]",Canceled,Shipped,
